source_path	file name	resolution	dwi count(b0/dwi)	max b-value	DWI contrast	neighboring DWI correlation	neighboring DWI correlation(masked)
data-others/disease/oasis3	sub-OAS30449_ses-d0620_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.965149	0.899446	0.794148
data-others/disease/oasis3	sub-OAS30449_ses-d2359_dwi.sz	2 2 2 	4/44	1400.000000	0.865965	0.762046	0.430218
data-others/disease/oasis3	sub-OAS30451_ses-d2656_dwi.sz	2 2 2 	4/44	1400.000000	0.893944	0.818362	0.503092
data-others/disease/oasis3	sub-OAS30452_ses-d2291_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.985387	0.927488	0.753142
data-others/disease/oasis3	sub-OAS30452_ses-d3472_dwi.sz	2 2 2 	4/44	1400.000000	0.950845	0.858865	0.632427
data-others/disease/oasis3	sub-OAS30452_ses-d4501_dwi.sz	2 2 2 	4/44	1400.000000	0.926621	0.867767	0.647126
data-others/disease/oasis3	sub-OAS30452_ses-d6033_dwi.sz	2 2 2 	3/66	2000.000000	0.965891	0.956700	0.700123
data-others/disease/oasis3	sub-OAS30453_ses-d0077_dwi.sz	2 2 2 	4/44	1400.000000	0.930575	0.849578	0.643187
data-others/disease/oasis3	sub-OAS30454_ses-d0209_dwi.sz	2 2 2 	4/44	1400.000000	0.796334	0.767609	0.371401
data-others/disease/oasis3	sub-OAS30455_ses-d2887_dwi.sz	2 2 2 	4/44	1400.000000	0.953508	0.843651	0.610708
data-others/disease/oasis3	sub-OAS30455_ses-d5422_dwi.sz	2 2 2 	3/66	2000.000000	0.919287	0.946409	0.674206
data-others/disease/oasis3	sub-OAS30456_ses-d0476_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.952739	0.901173	0.683670
data-others/disease/oasis3	sub-OAS30457_ses-d0102_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.960501	0.896105	0.750174
data-others/disease/oasis3	sub-OAS30458_ses-d0063_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.253407	0.990692	0.918294
data-others/disease/oasis3	sub-OAS30458_ses-d0063_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.831130	0.867929	0.508072
data-others/disease/oasis3	sub-OAS30458_ses-d0070_dwi.sz	2 2 2 	4/44	1400.000000	0.920462	0.854315	0.656573
data-others/disease/oasis3	sub-OAS30458_ses-d2318_dwi.sz	2 2 2 	3/66	2000.000000	0.960958	0.955862	0.745209
data-others/disease/oasis3	sub-OAS30460_ses-d0043_dwi.sz	2 2 2 	4/44	1400.000000	0.934371	0.766065	0.468406
data-others/disease/oasis3	sub-OAS30461_ses-d0198_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.971855	0.919041	0.775196
data-others/disease/oasis3	sub-OAS30462_ses-d0020_dwi.sz	2 2 2 	4/44	1400.000000	0.959154	0.814642	0.549494
data-others/disease/oasis3	sub-OAS30462_ses-d0034_dwi.sz	2 2 2 	4/44	1400.000000	0.962300	0.913173	0.739763
data-others/disease/oasis3	sub-OAS30462_ses-d0469_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.219326	0.991028	0.922164
data-others/disease/oasis3	sub-OAS30462_ses-d0469_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.956857	0.899425	0.627141
data-others/disease/oasis3	sub-OAS30462_ses-d1232_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.226128	0.992243	0.931465
data-others/disease/oasis3	sub-OAS30462_ses-d1232_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.949866	0.902275	0.628191
data-others/disease/oasis3	sub-OAS30464_ses-d0077_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.951228	0.907931	0.696607
data-others/disease/oasis3	sub-OAS30464_ses-d0951_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.955752	0.918675	0.688075
data-others/disease/oasis3	sub-OAS30464_ses-d2445_dwi.sz	2 2 2 	4/44	1400.000000	0.952185	0.867133	0.604173
data-others/disease/oasis3	sub-OAS30464_ses-d4292_dwi.sz	2 2 2 	1/12	2000.000000	0.503600	0.797801	0.165753
data-others/disease/oasis3	sub-OAS30465_ses-d0152_dwi.sz	2 2 2 	4/44	1400.000000	0.899135	0.844744	0.680826
data-others/disease/oasis3	sub-OAS30466_ses-d0671_dwi.sz	1.97917 1.97917 2 	4/48	1000.000000	0.982068	0.915784	0.759828
data-others/disease/oasis3	sub-OAS30467_ses-d0092_dwi.sz	2 2 2 	4/44	1400.000000	0.920049	0.817802	0.558540
data-others/disease/oasis3	sub-OAS30468_ses-d0069_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.270730	0.988306	0.896856
data-others/disease/oasis3	sub-OAS30468_ses-d0069_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.971056	0.879363	0.602263
data-others/disease/oasis3	sub-OAS30470_ses-d1846_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.989656	0.911505	0.819760
data-others/disease/oasis3	sub-OAS30471_ses-d1883_dwi.sz	2 2 2 	4/44	1400.000000	0.913190	0.857507	0.644491
data-others/disease/oasis3	sub-OAS30472_ses-d0047_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	1.020129	0.883059	0.679440
data-others/disease/oasis3	sub-OAS30472_ses-d1267_dwi.sz	2 2 2 	4/44	1400.000000	0.935300	0.792267	0.455659
data-others/disease/oasis3	sub-OAS30473_ses-d1163_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.982885	0.915388	0.833662
data-others/disease/oasis3	sub-OAS30475_ses-d0062_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.257372	0.989985	0.917746
data-others/disease/oasis3	sub-OAS30475_ses-d0062_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.858020	0.866581	0.509650
data-others/disease/oasis3	sub-OAS30476_ses-d0090_dwi.sz	2 2 2 	4/44	1400.000000	0.955731	0.879364	0.681543
data-others/disease/oasis3	sub-OAS30476_ses-d0482_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.252942	0.990003	0.909131
data-others/disease/oasis3	sub-OAS30476_ses-d0482_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.932657	0.892226	0.588060
data-others/disease/oasis3	sub-OAS30477_ses-d0069_dwi.sz	2 2 2 	4/44	1400.000000	0.938723	0.833316	0.647777
data-others/disease/oasis3	sub-OAS30479_ses-d0398_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.951012	0.900100	0.724653
data-others/disease/oasis3	sub-OAS30479_ses-d1266_dwi.sz	2 2 2 	4/44	1400.000000	0.878906	0.821972	0.590585
data-others/disease/oasis3	sub-OAS30479_ses-d2421_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.192377	0.988687	0.921771
data-others/disease/oasis3	sub-OAS30479_ses-d2421_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.848453	0.880817	0.548147
data-others/disease/oasis3	sub-OAS30480_ses-d0161_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.910738	0.871299	0.621448
data-others/disease/oasis3	sub-OAS30482_ses-d1408_dwi.sz	1.97917 1.97917 2 	2/24	1400.000000	0.977274	0.848698	0.643766
